ref_id,ref_text1,duplication,ref_text,article-title,editor,empty,given-names,issue,other,page,publisher,source,surname,url,volume,year
one_809987,"Simonin, B. 2000. Rechercher un emploi quand on est au chômage, in : DARES, No. 16.1.",['bszbw-wao-101968981'],"Simonin, B. 2000. Rechercher un emploi quand on est au chômage, in : DARES, No. 16.1.","['Rechercher un emploi quand on est au chômage, in : DARES,']",,['No.'],['B.'],,,,,,"['Simonin,']",,['16.1.'],['2000.']
one_768193,"Przyborski, Aglaja & Wohlrab-Sahr, Monika. (2010). Qualitative Sozialforschung. München, Wien: Oldenbourg Wissenschaftsverlag","['gesis-bib-130383', ' iab-litdok-K120423302', 'fis-bildung-955277', ' fis-bildung-955277']","Przyborski, Aglaja & Wohlrab-Sahr, Monika. (2010). Qualitative Sozialforschung. München, Wien: Oldenbourg Wissenschaftsverlag",['Qualitative Sozialforschung.'],,,"['Aglaja', 'Monika.']",,"['München, Wien:']",,['Oldenbourg Wissenschaftsverlag'],,"['Przyborski,', 'Wohlrab-Sahr,']",,,['(2010).']
one_247362,"Inglehart, Ronald 1977: The silent revolution. Changing values and political styles among western publics. Princeton, NJ: Princeton Univ. Press.","[' gesis-bib-93262', ' bszbw-wao-005977762', ' ubk-opac-LY000892406', 'wzb-bib-51668', ' csa-ps-7803639', ' fes-bib-649990', 'ubk-opac-LY000892406']","Inglehart, Ronald 1977: The silent revolution. Changing values and political styles among western publics. Princeton, NJ: Princeton Univ. Press.",['The silent revolution. Changing values and political styles among western publics.'],,,['Ronald'],,"['Princeton, NJ:']",,['Princeton Univ. Press.'],,"['Inglehart,']",,,['1977:']
one_192452,"Holtappels, H. G. (2011): Ganztagsschule. In: Reinders, H./Ditton, H./Gräsel, C./Gniewosz, B. (Hrsg.): Empirische Bildungsforschung. Band 2: Gegenstandsbereiche. – Wiesbaden, S. 113-124.",['fis-bildung-973154'],"Holtappels, H. G. (2011): Ganztagsschule. In: Reinders, H./Ditton, H./Gräsel, C./Gniewosz, B. (Hrsg.): Empirische Bildungsforschung. Band 2: Gegenstandsbereiche. – Wiesbaden, S. 113-124.",['Ganztagsschule.'],"['Reinders, H./Ditton, H./Gräsel, C./Gniewosz, B.']","['In:', '(Hrsg.):', 'Band', '–', 'S.']",['H. G.'],,"['Wiesbaden,']",['113-124.'],,['Empirische Bildungsforschung.'],"['Holtappels,', 'Gegenstandsbereiche.']",,['2:'],['(2011):']
one_625665,"Alain, M. 1985. ""An Empirical Validation of Relative Deprivation"". Human Relations 38: 739-49.",['csa-sa-86Q3014'],"Alain, M. 1985. ""An Empirical Validation of Relative Deprivation"". Human Relations 38: 739-49.",,,"['""""An']",['M.'],,,['739-49.'],,"['Empirical Validation of Relative Deprivation"""". Human Relations']","['Alain,']",,['38:'],['1985.']
one_386506,"Christie, R. & Cook, P. (1958). A guide to published literature relating to the authoritarian personality through 1956. The Journal of Psychology 45:261-277",['proquest-pao-NLZ043833489'],"Christie, R. & Cook, P. (1958). A guide to published literature relating to the authoritarian personality through 1956. The Journal of Psychology 45:261-277",['A guide to published literature relating to the authoritarian personality through 1956.'],,,"['R.', 'P.']",,['The'],['45:261-277'],['Journal of Psychology'],,"['Christie,', 'Cook,']",,,['(1958).']
one_697983,"Nierop, H. K. F. van (1993): The nobility of Holland. From knights to regents, 1500-1650. Cambridge: Cambridge University Press.",['ubk-opac-LY000149934'],"Nierop, H. K. F. van (1993): The nobility of Holland. From knights to regents, 1500-1650. Cambridge: Cambridge University Press.","['The nobility of Holland. From knights to regents,']",,,['H. K. F.'],,['Cambridge:'],['1500-1650.'],['Cambridge University Press.'],,"['Nierop,', 'van']",,,['(1993):']
one_1097836,"Koschel, Henrike and Sigurd Weinreich 1995: Ökologische Steuerreform auf dem Prüfstand  Ist die Zeit reif zum Handeln?, in: Olav Hohmeyer (ed.), Ökologische Steuerreform, Baden-Baden: Nomos, 9-38.",['gesis-solis-00207579'],"Koschel, Henrike and Sigurd Weinreich 1995: Ökologische Steuerreform auf dem Prüfstand  Ist die Zeit reif zum Handeln?, in: Olav Hohmeyer (ed.), Ökologische Steuerreform, Baden-Baden: Nomos, 9-38.","['and Sigurd Weinreich 1995: Ökologische Steuerreform auf dem Prüfstand \x96 Ist die Zeit reif zum Handeln?,']",['Olav Hohmeyer'],"['in:', '(ed.),']",['Henrike'],,['Baden-Baden:'],['9-38.'],"['Nomos,']","['Ökologische Steuerreform,']","['Koschel,']",,,
one_30490,"Kifmann, Mathias, 2001: „Langfristige Folgen einer Einbeziehung der Selbständigen in die gesetzliche Rentenversicherung“, Konjunkturpolitik 47, Heft 1: 51-73.","['iab-litdok-K021008907', 'gesis-solis-00314506', ' gesis-solis-00314506']","Kifmann, Mathias, 2001: „Langfristige Folgen einer Einbeziehung der Selbständigen in die gesetzliche Rentenversicherung“, Konjunkturpolitik 47, Heft 1: 51-73.","['„Langfristige Folgen einer Einbeziehung der Selbständigen in die gesetzliche Rentenversicherung“,']",,"['Konjunkturpolitik', 'Heft']","['Mathias,']",['1:'],,['51-73.'],,,"['Kifmann,']",,"['47,']",['2001:']
one_458062,"Powell, W. W. (1987): The Nonprofit Sector, New Haven/London: Yale University Press.","['gesis-bib-136165', ' csa-pais-1987-1701009']","Powell, W. W. (1987): The Nonprofit Sector, New Haven/London: Yale University Press.","['The Nonprofit Sector,']",,,['W. W.'],,['New Haven/London:'],,['Yale University Press.'],,"['Powell,']",,,['(1987):']
one_1052058,"Nelson, Katherine (1993): The Psychological and Social Origins of Autobiographical Memory, in: Psychological Science 4/1, 7-15.",['csa-sa-9402651'],"Nelson, Katherine (1993): The Psychological and Social Origins of Autobiographical Memory, in: Psychological Science 4/1, 7-15.","['The Psychological and Social Origins of Autobiographical Memory,']",,['in:'],['Katherine'],,,['7-15.'],,['Psychological Science'],"['Nelson,']",,"['4/1,']",['(1993):']
one_179556,"Esping-Andersen, G~sta 1990: The Three Worlds of Welfare Capitalism, Cambridge: Polity Press.","['dza-gerolit-027057291', ' ubk-opac-LY000027090', ' wzb-bib-48424']","Esping-Andersen, G~sta 1990: The Three Worlds of Welfare Capitalism, Cambridge: Polity Press.","['The Three Worlds of Welfare Capitalism,']",,,['G~sta'],,['Cambridge:'],,['Polity Press.'],,"['Esping-Andersen,']",,,['1990:']
one_929084,"Castles, Francis G.; Mair, Peter, 1984: “Left-Right Political Scales: Some Expert Judgements“, European Journal of Political Research 12, Nr. 1: 73-88.","[' csa-ps-8310626', 'csa-ps-8310626', 'csa-ps-166551', ' gesis-bib-62606']","Castles, Francis G.; Mair, Peter, 1984: “Left-Right Political Scales: Some Expert Judgements“, European Journal of Political Research 12, Nr. 1: 73-88.","['“Left-Right Political Scales: Some Expert Judgements“,']",,['Nr.'],"['Francis G.;', 'Peter,']",,,['73-88.'],,['European Journal of Political Research'],"['Castles,', 'Mair,']",,"['12,', '1:']",['1984:']
one_80988,"Bernhard, Sarah/Hohmeyer, Katrin/Jozwiak, Eva (2006): Zweiter Arbeitsmarkt. Im Westen noch nichts Neues. IAB Kurzbericht 24. Nürnberg. In: [http://doku.iab.de/kurzber/2006/kb2406.pdf, gesichtet am 11.12.08].","[' iab-litdok-K061214F07', 'gesis-solis-00375871']","Bernhard, Sarah/Hohmeyer, Katrin/Jozwiak, Eva (2006): Zweiter Arbeitsmarkt. Im Westen noch nichts Neues. IAB Kurzbericht 24. Nürnberg. In: [http://doku.iab.de/kurzber/2006/kb2406.pdf, gesichtet am 11.12.08].",['Zweiter Arbeitsmarkt. Im Westen noch nichts Neues. IAB Kurzbericht 24. Nürnberg.'],,['In:'],"['Katrin/Jozwiak, Eva']",,['gesichtet am 11.12.08].'],,,,"['Bernhard, Sarah/Hohmeyer,']",,,"['(2006):', '[http://doku.iab.de/kurzber/2006/kb2406.pdf,']"
one_494932,"Nilsson, Desiree 2008: Partial Peace: Rebel Groups Inside and O utside of Civil W ar Settlements, in: Journal of Peace Research, 45: 4, 479-495.","['csa-ps-200825464', 'bszbw-wao-324192282', ' csa-ps-200825464']","Nilsson, Desiree 2008: Partial Peace: Rebel Groups Inside and O utside of Civil W ar Settlements, in: Journal of Peace Research, 45: 4, 479-495.","['Partial Peace: Rebel Groups Inside and O utside of Civil W ar Settlements,']",,['in:'],['Desiree'],"['4,']",,['479-495.'],,"['Journal of Peace Research,']","['Nilsson,']",,['45:'],['2008:']
one_968716,"Göckenjan, G . & Kondratowitz, H. J . von (1988). Alter und Alltag. Suhrkamp, Frankfurt","[' dza-gerolit-024701351', 'csa-pais-1989-0011011', ' fes-bib-274750', ' gesis-solis-00118196', ' fis-bildung-167790']","Göckenjan, G . & Kondratowitz, H. J . von (1988). Alter und Alltag. Suhrkamp, Frankfurt","['. von (1988). Alter und Alltag. Suhrkamp,']",,['. '],"['G', 'H. J']",,['Frankfurt'],,,,"['Göckenjan,', 'Kondratowitz,']",,,
one_264195,"Schmitz, E. (1978): Leistung und Loyalität. Berufliche Weiterbildung und Personalpolitik in Industrieunternehmen. Stuttgart.","[' fes-bib-567305', ' gesis-solis-00038859', ' dzi-solit-0086881', ' wzb-bib-62022', 'wzb-bib-62022', ' iab-litdok-I800819F05', 'ubk-opac-HL001786590']","Schmitz, E. (1978): Leistung und Loyalität. Berufliche Weiterbildung und Personalpolitik in Industrieunternehmen. Stuttgart.",['Leistung und Loyalität. Berufliche Weiterbildung und Personalpolitik in Industrieunternehmen.'],,,['E.'],,['Stuttgart.'],,,,"['Schmitz,']",,,['(1978):']
one_157291,"Tophoven, C. 1995: Case-Management – Ein Weg zu mehr Qualität und Wirtschaftlichkeit im Gesundheitssystem. In: Sozialer Fortschritt, Heft 7: 162-166",['dzi-solit-0073382'],"Tophoven, C. 1995: Case-Management – Ein Weg zu mehr Qualität und Wirtschaftlichkeit im Gesundheitssystem. In: Sozialer Fortschritt, Heft 7: 162-166",['Case-Management – Ein Weg zu mehr Qualität und Wirtschaftlichkeit im Gesundheitssystem.'],,['In:'],['C.'],,,['162-166'],,"['Sozialer Fortschritt, Heft']","['Tophoven,']",,['7:'],['1995:']
one_691620,"Hujer, Reinhard; Thomsen, Stephan L. und Christopher Zeiss (2006): The Effects of ShortTerm Training Measures on the Individual Unemployment Duration in West Germany. ZEW Discussion Paper No. 06-065 (download unter: ftp://ftp.zew.de/pub/zewdocs/dp/dp06065.pdf, abgerufen am 20.04.2007).","[' iab-litdok-K061011A06', 'gesis-solis-00371003']","Hujer, Reinhard; Thomsen, Stephan L. und Christopher Zeiss (2006): The Effects of ShortTerm Training Measures on the Individual Unemployment Duration in West Germany. ZEW Discussion Paper No. 06-065 (download unter: ftp://ftp.zew.de/pub/zewdocs/dp/dp06065.pdf, abgerufen am 20.04.2007).",['The Effects of ShortTerm Training Measures on the Individual Unemployment Duration in West Germany.'],,,"['Reinhard;', 'Stephan L.', 'Christopher']",,,,,"['ZEW Discussion Paper No. 06-065 (download unter: ftp://ftp.zew.de/pub/zewdocs/dp/dp06065.pdf, abgerufen am 20.04.2007).']","['Hujer,', 'Thomsen,', 'und', 'Zeiss']",,,['(2006):']
one_134810,"Knorr-Cetina, Karin, 1988, Das naturwissenschaftliche Labor als Ort der „Verdichtung“ von Gesellschaft, Zeitschrift für Soziologie 17: 85-101.","[' gesis-bib-22784', ' csa-sa-88U0355', 'gesis-solis-00099044']","Knorr-Cetina, Karin, 1988, Das naturwissenschaftliche Labor als Ort der „Verdichtung“ von Gesellschaft, Zeitschrift für Soziologie 17: 85-101.","['naturwissenschaftliche Labor als Ort der „Verdichtung“ von Gesellschaft,']",,,"['Karin,', 'Das']",,,['85-101.'],,['Zeitschrift für Soziologie'],"['Knorr-Cetina,']",,['17:'],"['1988,']"
one_524006,"Neumann-Braun, Klaus und Deppermann, Arnulf (1998): Ethnographie der Kommunikationskulturen Jugendlicher. Zur Gegenstandskonzeption und Methodik der Untersuchung von Peer-Groups. In: Zeitschrift für Soziologie, Jg.27. Heft 4. Enke Verlag. Stuttgart. (S. 239-255)","[' dzi-solit-0109714', 'gesis-bib-28568', ' gesis-solis-00235438', ' csa-sa-9905568', 'csa-sa-9905568']","Neumann-Braun, Klaus und Deppermann, Arnulf (1998): Ethnographie der Kommunikationskulturen Jugendlicher. Zur Gegenstandskonzeption und Methodik der Untersuchung von Peer-Groups. In: Zeitschrift für Soziologie, Jg.27. Heft 4. Enke Verlag. Stuttgart. (S. 239-255)",['Ethnographie der Kommunikationskulturen Jugendlicher. Zur Gegenstandskonzeption und Methodik der Untersuchung von Peer-Groups.'],,"['In:', '(S.']","['Klaus und', 'Arnulf']",,['Jg.27. Heft 4.'],['239-255)'],['Enke Verlag. Stuttgart.'],"['Zeitschrift für Soziologie,']","['Neumann-Braun,', 'Deppermann,']",,,['(1998):']
one_1011158,"SCHAMP, E. W. (2000): Vernetzte Produktion. Industriegeographie aus institutioneller Perspektive. Darmstadt.","[' wzb-bib-127346', ' iab-litdok-K010313F27', ' bszbw-wao-084200162', 'wzb-bib-127346', 'gesis-solis-00343375']","SCHAMP, E. W. (2000): Vernetzte Produktion. Industriegeographie aus institutioneller Perspektive. Darmstadt.",['Vernetzte Produktion. Industriegeographie aus institutioneller Perspektive.'],,,['E. W.'],,['Darmstadt.'],,,,"['SCHAMP,']",,,['(2000):']
one_835174,"Bull, Martin/Martin Rhodes (1997). Between Crisis and Transition: Italian Politics in the 1990s, in: West European Politics, 1, 113.","['csa-assia-89095', ' csa-ps-9702818']","Bull, Martin/Martin Rhodes (1997). Between Crisis and Transition: Italian Politics in the 1990s, in: West European Politics, 1, 113.","['Between Crisis and Transition: Italian Politics in the 1990s,']",,['in:'],['Martin/Martin Rhodes'],,,['1\x9613.'],,"['West European Politics,']","['Bull,']",,"['1,']",['(1997).']
one_427404,"Heineck, G., 2004. Does religion influence the labour supply of married women in Germany?. Journal of Socio-Economics 33(3), 307-328.","[' iab-litdok-K090702P04', 'csa-sa-200414442']","Heineck, G., 2004. Does religion influence the labour supply of married women in Germany?. Journal of Socio-Economics 33(3), 307-328.",['Does religion influence the labour supply of married women in Germany?.'],,,"['G.,']",,,['307-328.'],,['Journal of Socio-Economics'],"['Heineck,']",,"['33(3),']",['2004.']
one_421569,"Gerstenmaier, J. & Nestmann, F. (1984). Alltagstheorien von Beratung. Westdeutscher Verlag, Opladen","[' gesis-solis-00080227', 'gesis-solis-00080227', 'ubk-opac-LY000775325']","Gerstenmaier, J. & Nestmann, F. (1984). Alltagstheorien von Beratung. Westdeutscher Verlag, Opladen",['Alltagstheorien von Beratung.'],,,"['J.', 'F.']",,['Westdeutscher'],,"['Verlag, Opladen']",,"['Gerstenmaier,', 'Nestmann,']",,,['(1984).']
one_1123344,"Bohle, Hans Hartwig, Wilhelm Heitmeyer, Wolfgang Kühnel and Uwe Sander: 1997, ‘Anomie in der modernen Gesellschaft’, in Wilhelm Heitmeyer (ed.), Was treibt die Gesellschaft auseinander? (Suhrkamp, Frankfurt am Main), pp. 29–65.","[' gesis-bib-82900', 'gesis-solis-00230945', 'gesis-bib-82900']","Bohle, Hans Hartwig, Wilhelm Heitmeyer, Wolfgang Kühnel and Uwe Sander: 1997, ‘Anomie in der modernen Gesellschaft’, in Wilhelm Heitmeyer (ed.), Was treibt die Gesellschaft auseinander? (Suhrkamp, Frankfurt am Main), pp. 29–65.","['Kühnel and Uwe Sander: 1997, ‘Anomie in der modernen Gesellschaft’,']",['Wilhelm Heitmeyer'],"['in', '(ed.),', 'pp.']","['Hans', 'Wilhelm', 'Wolfgang']",,,['29–65.'],,"['Was treibt die Gesellschaft auseinander? (Suhrkamp, Frankfurt am Main),']","['Bohle,', 'Hartwig,', 'Heitmeyer,']",,,
one_656454,"Thatcher, Mark and Alec Stone Sweet (eds.) (2002) ‘Theory and Practice of Delegation to Non-Majoritarian Institutions’, West European Politics, 25.","[' bszbw-wao-387891471', 'csa-ps-200211867', ' bszbw-wao-102006547']","Thatcher, Mark and Alec Stone Sweet (eds.) (2002) ‘Theory and Practice of Delegation to Non-Majoritarian Institutions’, West European Politics, 25.","['‘Theory and Practice of Delegation to Non-Majoritarian Institutions’,']",,['(eds.)'],"['Mark and', 'Stone']",,"['West European Politics, 25.']",,,,"['Thatcher,', 'Alec', 'Sweet']",,,['(2002)']
one_217768,"Bourdieu, P. (2001) Masculine Domination. Cambridge: Polity Press.",['csa-sa-200116777'],"Bourdieu, P. (2001) Masculine Domination. Cambridge: Polity Press.",['Masculine Domination.'],,,['P.'],,['Cambridge:'],,['Polity Press.'],,"['Bourdieu,']",,,['(2001)']
one_121540,"Wollmann, H. (1996): Verwaltungsmodernisierung: Ausgangsbedingungen, Reformanläufe und aktuelle Modernisierungsdiskurse. In: Reichard, C./ders. (Hg.): Kommunalverwaltung im Modernisierungsschub? Basel u.a.: 1-49.",['gesis-solis-00209718'],"Wollmann, H. (1996): Verwaltungsmodernisierung: Ausgangsbedingungen, Reformanläufe und aktuelle Modernisierungsdiskurse. In: Reichard, C./ders. (Hg.): Kommunalverwaltung im Modernisierungsschub? Basel u.a.: 1-49.","['Verwaltungsmodernisierung: Ausgangsbedingungen, Reformanläufe und aktuelle Modernisierungsdiskurse.']","['Reichard, C./ders.']","['In:', '(Hg.):', 'u.a.:']",['H.'],,,['1-49.'],,['Kommunalverwaltung im Modernisierungsschub? Basel'],"['Wollmann,']",,,['(1996):']
one_533609,"Giddens, A. (1994) Beyond Left and Right: The Future of Radical Politics. Cambridge: Polity Press.","['ubk-opac-LY000273567', 'wzb-bib-102184', ' ubk-opac-LY000273567']","Giddens, A. (1994) Beyond Left and Right: The Future of Radical Politics. Cambridge: Polity Press.",['Beyond Left and Right: The Future of Radical Politics.'],,,['A.'],,['Cambridge:'],,['Polity Press.'],,"['Giddens,']",,,['(1994)']
one_430804,"Appiah, K.A. (2005) The Ethics of Identity. Princeton, NJ: Princeton University Press.",['bszbw-wao-112883583'],"Appiah, K.A. (2005) The Ethics of Identity. Princeton, NJ: Princeton University Press.",['The Ethics of Identity.'],,,['K.A.'],,"['Princeton, NJ:']",,['Princeton University Press.'],,"['Appiah,']",,,['(2005)']
one_1143089,"Carroll, G. R./ Hannan, M. T. (2000): The Demography of Corporations and Industries. Princeton: Princeton University Press.","[' iab-litdok-K041008F15', 'csa-sa-2001a01880', 'iab-litdok-K041008F15']","Carroll, G. R./ Hannan, M. T. (2000): The Demography of Corporations and Industries. Princeton: Princeton University Press.",['The Demography of Corporations and Industries.'],,,"['G. R./', 'M. T.']",,['Princeton:'],,['Princeton University Press.'],,"['Carroll,', 'Hannan,']",,,['(2000):']
one_303377,"Brickell, C. (2000) ‘Heroes and invaders: gay and lesbian pride parades and the public/ private distinction in New Zealand media accounts’, Gender, Place and Culture 7 (2), 163–78",['csa-sa-200100142'],"Brickell, C. (2000) ‘Heroes and invaders: gay and lesbian pride parades and the public/ private distinction in New Zealand media accounts’, Gender, Place and Culture 7 (2), 163–78","['‘Heroes and invaders: gay and lesbian pride parades and the public/ private distinction in New Zealand media accounts’,']",,,['C.'],"['(2),']",,['163–78'],,"['Gender, Place and Culture']","['Brickell,']",,['7'],['(2000)']
one_892777,"Granger,C.W.J7Hatanaka,M., 1964: Spectralanalysisof economic time series. Princeton:Univ. Press. (S)","[' iab-litdok-I710611-04', 'ubk-opac-LY000751170', 'iab-litdok-I710611-04']","Granger,C.W.J7Hatanaka,M., 1964: Spectralanalysisof economic time series. Princeton:Univ. Press. (S)",['Spectralanalysisof economic time series. Princeton:Univ. Press.'],,['(S)'],,,,,,"['Granger,C.W.J7Hatanaka,M.,']",,,,['1964:']
one_186585,"McLaren, L. (2001), ‘Immigration and the new politics of inclusion and exclusion in the European Union: The effect of elites and the EU on individual-level opinions regarding European and non-European immigrants’, European Journal of Political Research, 39: 81-108.","['bszbw-wao-387950028', 'csa-ps-200108186', ' csa-ps-200108186', ' gesis-bib-48188']","McLaren, L. (2001), ‘Immigration and the new politics of inclusion and exclusion in the European Union: The effect of elites and the EU on individual-level opinions regarding European and non-European immigrants’, European Journal of Political Research, 39: 81-108.","['‘Immigration and the new politics of inclusion and exclusion in the European Union: The effect of elites and the EU on individual-level opinions regarding European and non-European immigrants’,']",,,['L.'],,,['81-108.'],,"['European Journal of Political Research,']","['McLaren,']",,['39:'],"['(2001),']"
one_205368,"Rittberger Berthold, Schimmelfennig Frank (2005), The Constitutionalization of the European Union. Explaining the Parliamentarization and Institutionalization of Human Rights, in Political Science Series, No. 104, Institute for Advanced Studies, Vienna.","[' gesis-ssoar-24585', ' gesis-solis-00340824', 'csa-ps-200613046']","Rittberger Berthold, Schimmelfennig Frank (2005), The Constitutionalization of the European Union. Explaining the Parliamentarization and Institutionalization of Human Rights, in Political Science Series, No. 104, Institute for Advanced Studies, Vienna.","['The Constitutionalization of the European Union. Explaining the Parliamentarization and Institutionalization of Human Rights, in Political Science Series,']",,['No.'],"['Rittberger', 'Schimmelfennig Frank']",,['Vienna.'],,,"['Institute for Advanced Studies,']","['Berthold,']",,"['104,']","['(2005),']"
one_270688,"Weinberg, Steven. 1974. Reflections of a Working Scientist. Daedalus 103 (3): 33- 45.",['csa-sa-75H5066'],"Weinberg, Steven. 1974. Reflections of a Working Scientist. Daedalus 103 (3): 33- 45.",['Reflections of a Working Scientist.'],,['Daedalus'],['Steven.'],['(3):'],,['33- 45.'],,,"['Weinberg,']",,['103'],['1974.']
one_353536,"Nijkamp, Peter and Jacques Poot, 2005, The last word on the wage curve?, Journal of Economic Surveys 19, 421-450.",['iab-litdok-K070118F07'],"Nijkamp, Peter and Jacques Poot, 2005, The last word on the wage curve?, Journal of Economic Surveys 19, 421-450.","['The last word on the wage curve?,']",,,['Peter and'],,,['421-450.'],,['Journal of Economic Surveys'],"['Nijkamp,', 'Jacques Poot,']",,"['19,']","['2005,']"
one_634753,"Doellgast, V. and Greer, I. (2007) ‘Vertical Disintegration and the Disorganisation of German Industrial Relations’, British Journal of Industrial Relations 45(1): 55–76.",['csa-pais-2007-21620'],"Doellgast, V. and Greer, I. (2007) ‘Vertical Disintegration and the Disorganisation of German Industrial Relations’, British Journal of Industrial Relations 45(1): 55–76.","['‘Vertical Disintegration and the Disorganisation of German Industrial Relations’,']",,,"['V. and', 'I.']",,,['55–76.'],,['British Journal of Industrial Relations'],"['Doellgast,', 'Greer,']",,['45(1):'],['(2007)']
one_28301,"Donnelly, J. (2001). Contested terrain or unified project? 'The nature of science' in the National Curriculum for England and Wales. International Journal of Science Education, 23(2), 181-195.",['fis-bildung-602860'],"Donnelly, J. (2001). Contested terrain or unified project? 'The nature of science' in the National Curriculum for England and Wales. International Journal of Science Education, 23(2), 181-195.","[""Contested terrain or unified project? 'The nature of science' in the National Curriculum for England and Wales.""]",,,['J.'],,,['181-195.'],,"['International Journal of Science Education,']","['Donnelly,']",,"['23(2),']",['(2001).']
one_205674,"Grimmer, B./ T. Röhl: Female Students at Universities in Baden-Württemberg, Rhone-Alpes and Catalonia. A Secondary Analysis of Gender, Interest in Science and Research, and the Intention to do a Doctorate. In: Papers – Revista Sociologica. Barcelona 2005, S. 199-215.",['csa-sa-200609291'],"Grimmer, B./ T. Röhl: Female Students at Universities in Baden-Württemberg, Rhone-Alpes and Catalonia. A Secondary Analysis of Gender, Interest in Science and Research, and the Intention to do a Doctorate. In: Papers – Revista Sociologica. Barcelona 2005, S. 199-215.","['Female Students at Universities in Baden-Württemberg, Rhone-Alpes and Catalonia. A Secondary Analysis of Gender, Interest in Science and Research, and the Intention to do a Doctorate.']",,"['In:', 'S.']",['B./ T. Röhl:'],,['Barcelona'],['199-215.'],,['Papers – Revista Sociologica.'],"['Grimmer,']",,,"['2005,']"
one_777546,"Godelier, Maurice (1990): Natur, Arbeit, Geschichte: Zu einer universalgeschichtlichen Theorie der Wirtschaftsformen. Hamburg: Junius. 279 S. [29]","['fes-bib-417852', ' wzb-bib-47992', 'wzb-bib-47992']","Godelier, Maurice (1990): Natur, Arbeit, Geschichte: Zu einer universalgeschichtlichen Theorie der Wirtschaftsformen. Hamburg: Junius. 279 S. [29]","['Natur, Arbeit, Geschichte: Zu einer universalgeschichtlichen Theorie der Wirtschaftsformen.']",,['S.'],['Maurice'],,"['Hamburg:', '[29]']",,['Junius.'],,"['Godelier,']",,['279'],['(1990):']
one_69251,"Quittner, A. L., Glueckauf, R. L. & Jackson, D. N. (1990). Chronic parenting stress: Moderating versus mediating effects of social support. Journal of Personality and Social Psychology, 59(6), pp. 1266-1278.",['csa-assia-9121665'],"Quittner, A. L., Glueckauf, R. L. & Jackson, D. N. (1990). Chronic parenting stress: Moderating versus mediating effects of social support. Journal of Personality and Social Psychology, 59(6), pp. 1266-1278.",['Chronic parenting stress: Moderating versus mediating effects of social support.'],,['pp.'],"['A. L.,', 'R. L.', 'D. N.']",,,['1266-1278.'],,"['Journal of Personality and Social Psychology,']","['Quittner,', 'Glueckauf,', 'Jackson,']",,"['59(6),']",['(1990).']
one_570514,"Albrecht, Martin/ Braun, Hans (1998): International research project on job retention and return to work strategies for disabled workers: study report Germany. Geneva: International Labour Office","[' gesis-solis-00321865', 'iab-litdok-K031127F07', 'gesis-solis-00321865']","Albrecht, Martin/ Braun, Hans (1998): International research project on job retention and return to work strategies for disabled workers: study report Germany. Geneva: International Labour Office",['International research project on job retention and return to work strategies for disabled workers: study report Germany.'],,,"['Martin/', 'Hans']",,['Geneva:'],,['International Labour Office'],,"['Albrecht,', 'Braun,']",,,['(1998):']
one_133564,"Elkins, Zachary/Guzman, Andrew T./Simmons, Beth A. 2006: Competing for Capital: The Difusion of Bilateral Investment Treaties 1960-2000, in: International Organization 60: 4, 811- 846.","['bszbw-wao-282451323', 'csa-ps-200711247', ' csa-ps-200711247']","Elkins, Zachary/Guzman, Andrew T./Simmons, Beth A. 2006: Competing for Capital: The Difusion of Bilateral Investment Treaties 1960-2000, in: International Organization 60: 4, 811- 846.","['Competing for Capital: The Difusion of Bilateral Investment Treaties 1960-2000,']",,['in:'],"['Andrew', 'Beth A.']","['4,']",,['811- 846.'],,['International Organization'],"['Elkins, Zachary/Guzman,', 'T./Simmons,']",,['60:'],['2006:']
one_776076,"Wagner, Gert G. / Frick, Joachim R. / Schupp, Jürgen (2007): The German Socio-Economic Panel Study (SOEP) – Scope, Evolution and Enhancements, in: Schmollers Jahrbuch 127, Heft 1, S. 139-169.","[' gesis-solis-00389273', 'csa-ps-200806958', ' iab-litdok-K070730N06']","Wagner, Gert G. / Frick, Joachim R. / Schupp, Jürgen (2007): The German Socio-Economic Panel Study (SOEP) – Scope, Evolution and Enhancements, in: Schmollers Jahrbuch 127, Heft 1, S. 139-169.","['The German Socio-Economic Panel Study (SOEP) – Scope, Evolution and Enhancements,']","['Frick, Joachim R.', 'Schupp, Jürgen']","['/', '/', 'in:', 'Heft', 'S.']",['Gert G.'],"['1,']",,['139-169.'],,['Schmollers Jahrbuch'],"['Wagner,']",,"['127,']",['(2007):']
one_1088099,"Medianu, N. (2002). “Analysing Political Exchanges between Minority and Majority Leaders in R omania”. The Global Review of Ethnopolitics 1 (4): 28-41.",['csa-ps-200506497'],"Medianu, N. (2002). “Analysing Political Exchanges between Minority and Majority Leaders in R omania”. The Global Review of Ethnopolitics 1 (4): 28-41.",['“Analysing Political Exchanges between Minority and Majority Leaders in R omania”.'],,,['N.'],['(4):'],,['28-41.'],,['The Global Review of Ethnopolitics'],"['Medianu,']",,['1'],['(2002).']
